DSVectorSize,responseTime_ns
1000000,113
1000000,86
1000000,186
1000000,271
1000000,99
1000000,194
1000000,193
1000000,210
1000000,91
1000000,250
1000000,120
1000000,91
1000000,113
1000000,85
1000000,184
1000000,176
1000000,185
1000000,92
1000000,196
1000000,180
10000000,182
10000000,166
10000000,189
10000000,181
10000000,240
10000000,167
10000000,175
10000000,87
10000000,167
10000000,166
10000000,187
10000000,166
10000000,152
10000000,179
10000000,195
10000000,242
10000000,167
10000000,228
10000000,206
10000000,194
10000000,192
10000000,212
10000000,630
10000000,396
10000000,207
10000000,196
10000000,222
10000000,188
10000000,175
10000000,190
10000000,196
10000000,95
10000000,191
10000000,202
10000000,155
10000000,214
10000000,208
10000000,175
10000000,238
10000000,225
10000000,176
10000000,198
10000000,165
10000000,205
10000000,172
10000000,335
10000000,160
10000000,179
10000000,182
10000000,197
10000000,212
10000000,179
10000000,185
10000000,184
10000000,164
10000000,504
10000000,178
10000000,459
10000000,157
10000000,166
10000000,230
10000000,381
10000000,180
10000000,120
10000000,213
10000000,170
10000000,258
10000000,180
10000000,187
10000000,186
10000000,269
10000000,190
10000000,734
10000000,196
10000000,249
10000000,182
10000000,175
10000000,177
10000000,271
10000000,309
10000000,209
10000000,189
10000000,189
10000000,199
10000000,261
10000000,182
10000000,198
10000000,197
10000000,193
10000000,190
10000000,220
10000000,190
10000000,253
10000000,214
10000000,186
10000000,242
10000000,126
10000000,209
10000000,166
10000000,281
